schedule_season,schedule_week,home_id,score_home,score_away,away_id,favorite_id,spread_favorite,over_under_line,weather_temperature,weather_wind_mph,winner,cover,over
2000,7,28,15,0,3,28,-8.5,37,60,6,28,1,0
2000,7,32,10,3,25,32,-3.5,34.5,64,7,32,1,0
2000,7,30,27,13,17,30,-6,38,67,3,30,1,1
2000,8,7,14,28,19,7,-8,37.5,72,4,19,0,1
2000,8,3,31,21,5,5,-10,43,64,4,3,0,1
2000,8,10,54,34,24,24,-7,56,62,13,10,0,1
2000,8,11,30,23,22,11,-8.5,47,72,0,11,0,1
2000,8,12,48,7,8,12,-7,41.5,68,16,12,1,1
2000,8,14,13,9,2,14,-6.5,41,60,9,14,0,0
2000,8,15,19,21,26,26,-1.5,40,72,0,26,1,0
2000,8,17,16,35,32,32,-4,36,72,10,32,1,1
2000,8,21,34,16,1,21,-3,50,65,6,21,1,0
2000,8,23,31,3,27,23,-7.5,44,66,26,23,1,0
2000,8,25,6,14,30,25,-1,35,60,8,30,0,0
2000,8,28,22,0,6,28,-9,37.5,59,5,28,1,0
2000,8,31,31,27,4,31,-6.5,44.5,72,0,31,0,1
2000,8,18,40,37,13,18,-3,35,53,10,18,0,1
2000,9,1,24,34,24,24,-7,63,56,9,24,1,0
2000,9,4,23,20,18,4,-3.5,41,39,11,4,0,1
2000,9,6,3,12,3,3,-3,35.5,41,7,3,1,0
2000,9,7,41,13,31,7,-3,41,72,5,7,1,1
2000,9,8,10,21,26,26,-6,41,62,6,26,1,0
2000,9,9,13,15,23,23,-6.5,42.5,62,6,23,0,0
2000,9,11,30,18,19,11,-7,47,72,0,11,1,1
2000,9,12,17,23,17,12,-4,44.5,69,12,17,0,0
2000,9,13,28,20,20,13,-4.5,38.5,75,8,13,1,1
2000,9,15,13,12,21,21,-3,45.5,72,0,15,0,0
2000,9,16,24,7,14,16,-3.5,37,43,19,16,1,0
2000,9,25,6,9,28,25,-4.5,33,47,12,28,0,0
2000,9,27,19,24,10,10,-4,43,51,8,10,1,0
2000,9,32,21,27,30,32,-4,37.5,52,14,30,0,1
2000,10,2,27,24,11,11,-7,45,46,8,2,0,1
2000,10,3,7,27,25,25,-6,32.5,44,7,25,1,1
2000,10,6,3,24,16,16,-10,33.5,45,7,16,1,0
2000,10,8,16,15,32,32,-10,40,59,7,8,0,0
2000,10,14,16,13,12,14,-3,40,51,14,14,0,0
2000,10,15,14,27,7,7,-7,40,72,0,7,1,1
2000,10,18,23,30,5,18,-3,45.5,52,20,5,0,1
2000,10,19,8,23,13,19,-2.5,39,72,0,13,0,0
2000,10,22,13,16,4,22,-2,39,46,12,4,0,0
2000,10,23,49,31,10,23,-3.5,44,56,10,23,1,1
2000,10,24,24,27,21,24,-13.5,59.5,72,0,21,0,0
